month,weekday,day,hour,value
7.0,6.0,26.0,10.0,1.5855000000000001
7.0,6.0,26.0,11.0,0.29100000000000004
7.0,6.0,26.0,12.0,0.21000000000000002
7.0,6.0,26.0,13.0,0.2885
7.0,6.0,26.0,14.0,0.227
7.0,6.0,26.0,15.0,0.253
7.0,6.0,26.0,16.0,0.2715
7.0,6.0,26.0,17.0,0.22249999999999998
7.0,6.0,26.0,18.0,0.2725
7.0,6.0,26.0,19.0,0.2265
7.0,6.0,26.0,20.0,3.5395000000000003
7.0,6.0,26.0,21.0,1.386
7.0,6.0,26.0,22.0,1.0884999999999998
7.0,6.0,26.0,23.0,1.1895
7.0,0.0,27.0,0.0,1.0945
7.0,0.0,27.0,1.0,1.0750000000000002
7.0,0.0,27.0,2.0,0.8255
7.0,0.0,27.0,3.0,0.7045
7.0,0.0,27.0,4.0,0.6575
7.0,0.0,27.0,5.0,0.4605
7.0,0.0,27.0,6.0,0.32699999999999996
7.0,0.0,27.0,7.0,0.4895
7.0,0.0,27.0,8.0,0.246
7.0,0.0,27.0,9.0,0.9295
7.0,0.0,27.0,10.0,0.379
7.0,0.0,27.0,11.0,0.265
7.0,0.0,27.0,12.0,0.302
7.0,0.0,27.0,13.0,0.372
7.0,0.0,27.0,14.0,1.1524999999999999
7.0,0.0,27.0,15.0,0.5015000000000001
7.0,0.0,27.0,16.0,0.49449999999999994
7.0,0.0,27.0,17.0,0.43
7.0,0.0,27.0,18.0,0.4475
7.0,0.0,27.0,19.0,3.4225
7.0,0.0,27.0,20.0,0.8785000000000001
7.0,0.0,27.0,21.0,1.7714999999999999
7.0,0.0,27.0,22.0,4.166
7.0,0.0,27.0,23.0,1.331
7.0,1.0,28.0,0.0,1.4285
7.0,1.0,28.0,1.0,0.7284999999999999
7.0,1.0,28.0,2.0,0.40449999999999997
7.0,1.0,28.0,3.0,0.45099999999999996
7.0,1.0,28.0,4.0,0.3405
7.0,1.0,28.0,5.0,0.40249999999999997
7.0,1.0,28.0,6.0,1.2485
7.0,1.0,28.0,7.0,0.276
7.0,1.0,28.0,8.0,1.145
7.0,1.0,28.0,9.0,0.746
7.0,1.0,28.0,10.0,0.46299999999999997
7.0,1.0,28.0,11.0,1.232
7.0,1.0,28.0,12.0,1.1105
7.0,1.0,28.0,13.0,0.918
7.0,1.0,28.0,14.0,0.476
7.0,1.0,28.0,15.0,0.3755
7.0,1.0,28.0,16.0,0.6559999999999999
7.0,1.0,28.0,17.0,0.487
7.0,1.0,28.0,18.0,1.8504999999999998
7.0,1.0,28.0,19.0,2.5765
7.0,1.0,28.0,20.0,1.051
7.0,1.0,28.0,21.0,0.6625000000000001
7.0,1.0,28.0,22.0,0.973
7.0,1.0,28.0,23.0,1.134
7.0,2.0,29.0,0.0,1.147
7.0,2.0,29.0,1.0,0.9764999999999999
7.0,2.0,29.0,2.0,0.4345
7.0,2.0,29.0,3.0,0.3765
7.0,2.0,29.0,4.0,0.368
7.0,2.0,29.0,5.0,0.32799999999999996
7.0,2.0,29.0,6.0,0.386
7.0,2.0,29.0,7.0,0.3085
7.0,2.0,29.0,8.0,0.47950000000000004
7.0,2.0,29.0,9.0,0.7979999999999999
7.0,2.0,29.0,10.0,0.764
7.0,2.0,29.0,11.0,0.9790000000000001
7.0,2.0,29.0,12.0,1.0045
7.0,2.0,29.0,13.0,0.9069999999999999
7.0,2.0,29.0,14.0,0.40349999999999997
7.0,2.0,29.0,15.0,0.5905
7.0,2.0,29.0,16.0,0.9424999999999999
7.0,2.0,29.0,17.0,0.6405
7.0,2.0,29.0,18.0,0.415
7.0,2.0,29.0,19.0,1.9175
7.0,2.0,29.0,20.0,0.5735
7.0,2.0,29.0,21.0,0.7315
7.0,2.0,29.0,22.0,4.1355
7.0,2.0,29.0,23.0,1.1099999999999999
7.0,3.0,30.0,0.0,0.968
7.0,3.0,30.0,1.0,0.795
7.0,3.0,30.0,2.0,0.4475
7.0,3.0,30.0,3.0,0.3025
7.0,3.0,30.0,4.0,0.406
7.0,3.0,30.0,5.0,0.3505
7.0,3.0,30.0,6.0,0.33999999999999997
7.0,3.0,30.0,7.0,0.2945
7.0,3.0,30.0,8.0,0.227
7.0,3.0,30.0,9.0,0.30400000000000005
7.0,3.0,30.0,10.0,2.825
7.0,3.0,30.0,11.0,0.4455
7.0,3.0,30.0,12.0,0.33499999999999996
7.0,3.0,30.0,13.0,0.3005
7.0,3.0,30.0,14.0,1.1285
7.0,3.0,30.0,15.0,0.362
7.0,3.0,30.0,16.0,0.31999999999999995
7.0,3.0,30.0,17.0,1.3375
7.0,3.0,30.0,18.0,0.4995
7.0,3.0,30.0,19.0,1.681
7.0,3.0,30.0,20.0,2.8280000000000003
7.0,3.0,30.0,21.0,2.214
7.0,3.0,30.0,22.0,1.3885
7.0,3.0,30.0,23.0,1.2395
7.0,4.0,31.0,0.0,0.8645
7.0,4.0,31.0,1.0,0.726
7.0,4.0,31.0,2.0,0.5765
7.0,4.0,31.0,3.0,0.273
7.0,4.0,31.0,4.0,0.2595
7.0,4.0,31.0,5.0,0.258
7.0,4.0,31.0,6.0,0.2985
7.0,4.0,31.0,7.0,0.219
7.0,4.0,31.0,8.0,0.2745
7.0,4.0,31.0,9.0,1.0055
7.0,4.0,31.0,10.0,0.23500000000000001
7.0,4.0,31.0,11.0,0.2495
7.0,4.0,31.0,12.0,0.252
7.0,4.0,31.0,13.0,0.2425
7.0,4.0,31.0,14.0,0.507
7.0,4.0,31.0,15.0,3.352
7.0,4.0,31.0,16.0,1.8455
7.0,4.0,31.0,17.0,2.9975
7.0,4.0,31.0,18.0,1.2005
7.0,4.0,31.0,19.0,0.9755
7.0,4.0,31.0,20.0,0.8125
7.0,4.0,31.0,21.0,0.7845
7.0,4.0,31.0,22.0,0.7895000000000001
7.0,4.0,31.0,23.0,1.1245
8.0,5.0,1.0,0.0,1.1455
8.0,5.0,1.0,1.0,1.26
8.0,5.0,1.0,2.0,1.0775000000000001
8.0,5.0,1.0,3.0,0.7395
8.0,5.0,1.0,4.0,0.6885
8.0,5.0,1.0,5.0,0.3675
8.0,5.0,1.0,6.0,0.412
8.0,5.0,1.0,7.0,0.9425
8.0,5.0,1.0,8.0,0.34750000000000003
8.0,5.0,1.0,9.0,0.2565
8.0,5.0,1.0,10.0,0.8069999999999999
8.0,5.0,1.0,11.0,0.3305
8.0,5.0,1.0,12.0,0.213
8.0,5.0,1.0,13.0,0.564
8.0,5.0,1.0,14.0,1.447
8.0,5.0,1.0,15.0,1.3039999999999998
8.0,5.0,1.0,16.0,1.5599999999999998
8.0,5.0,1.0,17.0,1.4455
8.0,5.0,1.0,18.0,0.7470000000000001
8.0,5.0,1.0,19.0,0.6060000000000001
8.0,5.0,1.0,20.0,0.6795
8.0,5.0,1.0,21.0,0.669
8.0,5.0,1.0,22.0,0.583
8.0,5.0,1.0,23.0,0.5385
8.0,6.0,2.0,0.0,0.593
8.0,6.0,2.0,1.0,0.5609999999999999
8.0,6.0,2.0,2.0,0.515
8.0,6.0,2.0,3.0,0.338
8.0,6.0,2.0,4.0,0.374
8.0,6.0,2.0,5.0,0.344
8.0,6.0,2.0,6.0,0.3705
8.0,6.0,2.0,7.0,0.34750000000000003
8.0,6.0,2.0,8.0,0.3585
8.0,6.0,2.0,9.0,0.2865
8.0,6.0,2.0,10.0,1.473
8.0,6.0,2.0,11.0,1.158
8.0,6.0,2.0,12.0,0.352
8.0,6.0,2.0,13.0,0.73
8.0,6.0,2.0,14.0,0.249
8.0,6.0,2.0,15.0,0.9525
8.0,6.0,2.0,16.0,2.9765
8.0,6.0,2.0,17.0,0.6659999999999999
8.0,6.0,2.0,18.0,3.9425
8.0,6.0,2.0,19.0,4.276
